ID,DATE,ELEMENT,VALUE,MEASUREMENT_FLAG,QUALITY_FLAG,SOURCE_FLAG,OBSERVATION_TIME,COUNTRYCODE,YEAR,NAME,LATITUDE,LONGITUDE
NZ000093994,19490101,TMAX,249.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19490101,TMIN,184.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000939450,19490101,TMAX,102.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19490101,TMIN,51.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000093844,19490101,TMAX,177.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19490101,TMIN,79.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000933090,19490101,TMAX,243.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19490101,TMIN,158.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000093994,19490102,TMAX,256.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19490102,TMIN,188.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000939450,19490102,TMAX,116.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19490102,TMIN,29.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000093844,19490102,TMAX,164.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19490102,TMIN,75.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000933090,19490102,TMAX,199.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19490102,TMIN,158.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000093994,19490103,TMAX,257.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19490103,TMIN,187.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000939450,19490103,TMAX,109.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19490103,TMIN,67.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000093844,19490103,TMAX,189.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19490103,TMIN,121.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000933090,19490103,TMAX,212.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19490103,TMIN,139.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000093994,19490104,TMAX,254.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19490104,TMIN,202.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000939450,19490104,TMAX,111.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19490104,TMIN,73.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000093844,19490104,TMAX,217.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19490104,TMIN,101.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000933090,19490104,TMAX,238.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19490104,TMIN,120.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000093994,19490105,TMAX,244.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19490105,TMIN,183.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000939450,19490105,TMAX,129.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19490105,TMIN,87.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000093844,19490105,TMAX,247.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19490105,TMIN,67.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000933090,19490105,TMAX,217.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19490105,TMIN,150.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000093994,19490106,TMAX,243.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19490106,TMIN,201.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000939450,19490106,TMAX,162.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19490106,TMIN,83.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000093844,19490106,TMAX,216.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19490106,TMIN,117.0,"","",G,"",NZ,1949,INVERCARGILL AIRPOR,-46.417,168.333
NZ000933090,19490106,TMAX,217.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19490106,TMIN,156.0,"","",G,"",NZ,1949,NEW PLYMOUTH AWS,-39.017,174.183
NZ000093994,19490107,TMAX,249.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19490107,TMIN,181.0,"","",G,"",NZ,1949,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000939450,19490107,TMAX,123.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19490107,TMIN,80.0,"","",G,"",NZ,1949,CAMPBELL ISLAND AWS,-52.55,169.167
