ID,DATE,ELEMENT,VALUE,MEASUREMENT_FLAG,QUALITY_FLAG,SOURCE_FLAG,OBSERVATION_TIME,COUNTRYCODE,YEAR,NAME,LATITUDE,LONGITUDE
NZ000936150,19980101,TMAX,181.0,"","",G,"",NZ,1998,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,19980101,TMIN,77.0,"","",G,"",NZ,1998,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,19980101,TMAX,229.0,"","",G,"",NZ,1998,KAITAIA,-35.1,173.267
NZ000093012,19980101,TMIN,105.0,"","",G,"",NZ,1998,KAITAIA,-35.1,173.267
NZ000939870,19980101,TMAX,152.0,"","",G,"",NZ,1998,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,19980101,TMIN,112.0,"","",G,"",NZ,1998,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000093292,19980101,TMAX,218.0,"","",G,"",NZ,1998,GISBORNE AERODROME,-38.65,177.983
NZ000093292,19980101,TMIN,96.0,"","",G,"",NZ,1998,GISBORNE AERODROME,-38.65,177.983
NZ000093994,19980101,TMAX,220.0,"","",G,"",NZ,1998,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19980101,TMIN,183.0,"","",G,"",NZ,1998,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,19980101,TMAX,289.0,"","",G,"",NZ,1998,TARA HILLS,-44.517,169.9
NZ000937470,19980101,TMIN,176.0,"","",G,"",NZ,1998,TARA HILLS,-44.517,169.9
NZ000939450,19980101,TMAX,131.0,"","",G,"",NZ,1998,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19980101,TMIN,66.0,"","",G,"",NZ,1998,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000093844,19980101,TMAX,201.0,"","",G,"",NZ,1998,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19980101,TMIN,124.0,"","",G,"",NZ,1998,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,19980101,TMAX,213.0,"","",G,"",NZ,1998,PARAPARAUMU AWS,-40.9,174.983
