ID,DATE,ELEMENT,VALUE,MEASUREMENT_FLAG,QUALITY_FLAG,SOURCE_FLAG,OBSERVATION_TIME,COUNTRYCODE,YEAR,NAME,LATITUDE,LONGITUDE
NZ000936150,20040101,TMAX,190.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,20040101,TMIN,128.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,20040101,TMAX,234.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000093012,20040101,TMIN,106.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000939870,20040101,TMAX,196.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,20040101,TMIN,101.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20040101,TMAX,222.0,"","",S,"",NZ,2004,AUCKLAND AERO AWS,-37.0,174.8
NZM00093110,20040101,TMIN,141.0,"","",S,"",NZ,2004,AUCKLAND AERO AWS,-37.0,174.8
NZM00093678,20040101,TMAX,249.0,"","",S,"",NZ,2004,KAIKOURA,-42.417,173.7
NZM00093678,20040101,TMIN,152.0,"","",S,"",NZ,2004,KAIKOURA,-42.417,173.7
NZ000093292,20040101,TMAX,240.0,"","",G,"",NZ,2004,GISBORNE AERODROME,-38.65,177.983
NZ000093292,20040101,TMIN,101.0,"","",G,"",NZ,2004,GISBORNE AERODROME,-38.65,177.983
NZ000093994,20040101,TMAX,251.0,"","",G,"",NZ,2004,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,20040101,TMIN,209.0,"","",G,"",NZ,2004,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,20040101,TMAX,292.0,"","",G,"",NZ,2004,TARA HILLS,-44.517,169.9
NZ000937470,20040101,TMIN,163.0,"","",G,"",NZ,2004,TARA HILLS,-44.517,169.9
NZ000939450,20040101,TMAX,122.0,"","",G,"",NZ,2004,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,20040101,TMIN,78.0,"","",G,"",NZ,2004,CAMPBELL ISLAND AWS,-52.55,169.167
NZM00093781,20040101,TMAX,309.0,"","",S,"",NZ,2004,CHRISTCHURCH INTL,-43.489,172.532
NZM00093439,20040101,TMAX,224.0,"","",S,"",NZ,2004,WELLINGTON AERO AWS,-41.333,174.8
NZM00093439,20040101,TMIN,149.0,"","",S,"",NZ,2004,WELLINGTON AERO AWS,-41.333,174.8
NZ000093844,20040101,TMAX,230.0,"","",G,"",NZ,2004,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,20040101,TMIN,147.0,"","",G,"",NZ,2004,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,20040101,TMAX,204.0,"","",G,"",NZ,2004,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,20040101,TMIN,142.0,"","",G,"",NZ,2004,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,20040101,TMAX,193.0,"","",G,"",NZ,2004,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,20040101,TMIN,123.0,"","",G,"",NZ,2004,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,20040102,TMAX,203.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,20040102,TMIN,151.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,20040102,TMAX,256.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000093012,20040102,TMIN,130.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000939870,20040102,TMAX,199.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,20040102,TMIN,141.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20040102,TMAX,238.0,"","",S,"",NZ,2004,AUCKLAND AERO AWS,-37.0,174.8
NZM00093110,20040102,TMIN,139.0,"","",S,"",NZ,2004,AUCKLAND AERO AWS,-37.0,174.8
NZM00093678,20040102,TMAX,269.0,"","",S,"",NZ,2004,KAIKOURA,-42.417,173.7
NZ000093292,20040102,TMAX,297.0,"","",G,"",NZ,2004,GISBORNE AERODROME,-38.65,177.983
NZ000093292,20040102,TMIN,163.0,"","",G,"",NZ,2004,GISBORNE AERODROME,-38.65,177.983
NZ000093994,20040102,TMAX,247.0,"","",G,"",NZ,2004,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,20040102,TMIN,217.0,"","",G,"",NZ,2004,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,20040102,TMAX,301.0,"","",G,"",NZ,2004,TARA HILLS,-44.517,169.9
NZ000937470,20040102,TMIN,182.0,"","",G,"",NZ,2004,TARA HILLS,-44.517,169.9
NZ000939450,20040102,TMAX,142.0,"","",G,"",NZ,2004,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,20040102,TMIN,88.0,"","",G,"",NZ,2004,CAMPBELL ISLAND AWS,-52.55,169.167
NZM00093781,20040102,TMAX,316.0,"","",S,"",NZ,2004,CHRISTCHURCH INTL,-43.489,172.532
NZM00093439,20040102,TMAX,251.0,"","",S,"",NZ,2004,WELLINGTON AERO AWS,-41.333,174.8
NZM00093439,20040102,TMIN,163.0,"","",S,"",NZ,2004,WELLINGTON AERO AWS,-41.333,174.8
NZ000093844,20040102,TMAX,190.0,"","",G,"",NZ,2004,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,20040102,TMIN,115.0,"","",G,"",NZ,2004,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,20040102,TMAX,220.0,"","",G,"",NZ,2004,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,20040102,TMIN,117.0,"","",G,"",NZ,2004,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,20040102,TMAX,202.0,"","",G,"",NZ,2004,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,20040102,TMIN,149.0,"","",G,"",NZ,2004,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,20040103,TMAX,201.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,20040103,TMIN,149.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,20040103,TMAX,249.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000093012,20040103,TMIN,138.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000939870,20040103,TMAX,205.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,20040103,TMIN,156.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20040103,TMAX,257.0,"","",S,"",NZ,2004,AUCKLAND AERO AWS,-37.0,174.8
NZM00093110,20040103,TMIN,150.0,"","",S,"",NZ,2004,AUCKLAND AERO AWS,-37.0,174.8
NZM00093678,20040103,TMIN,153.0,"","",S,"",NZ,2004,KAIKOURA,-42.417,173.7
NZ000093292,20040103,TMAX,300.0,"","",G,"",NZ,2004,GISBORNE AERODROME,-38.65,177.983
NZ000093292,20040103,TMIN,188.0,"","",G,"",NZ,2004,GISBORNE AERODROME,-38.65,177.983
NZ000093994,20040103,TMAX,258.0,"","",G,"",NZ,2004,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,20040103,TMIN,205.0,"","",G,"",NZ,2004,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,20040103,TMAX,318.0,"","",G,"",NZ,2004,TARA HILLS,-44.517,169.9
NZ000937470,20040103,TMIN,157.0,"","",G,"",NZ,2004,TARA HILLS,-44.517,169.9
NZ000939450,20040103,TMAX,129.0,"","",G,"",NZ,2004,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,20040103,TMIN,91.0,"","",G,"",NZ,2004,CAMPBELL ISLAND AWS,-52.55,169.167
NZM00093781,20040103,TMAX,314.0,"","",S,"",NZ,2004,CHRISTCHURCH INTL,-43.489,172.532
NZM00093781,20040103,TMIN,116.0,"","",S,"",NZ,2004,CHRISTCHURCH INTL,-43.489,172.532
NZM00093439,20040103,TMAX,234.0,"","",S,"",NZ,2004,WELLINGTON AERO AWS,-41.333,174.8
NZM00093439,20040103,TMIN,167.0,"","",S,"",NZ,2004,WELLINGTON AERO AWS,-41.333,174.8
NZ000093844,20040103,TMAX,244.0,"","",G,"",NZ,2004,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,20040103,TMIN,133.0,"","",G,"",NZ,2004,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,20040103,TMAX,212.0,"","",G,"",NZ,2004,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,20040103,TMIN,151.0,"","",G,"",NZ,2004,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,20040103,TMAX,208.0,"","",G,"",NZ,2004,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,20040103,TMIN,164.0,"","",G,"",NZ,2004,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,20040104,TMAX,203.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,20040104,TMIN,150.0,"","",G,"",NZ,2004,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,20040104,TMAX,233.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000093012,20040104,TMIN,169.0,"","",G,"",NZ,2004,KAITAIA,-35.1,173.267
NZ000939870,20040104,TMAX,194.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,20040104,TMIN,136.0,"","",G,"",NZ,2004,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20040104,TMAX,251.0,"","",S,"",NZ,2004,AUCKLAND AERO AWS,-37.0,174.8
NZM00093678,20040104,TMAX,251.0,"","",S,"",NZ,2004,KAIKOURA,-42.417,173.7
