ID,DATE,ELEMENT,VALUE,MEASUREMENT_FLAG,QUALITY_FLAG,SOURCE_FLAG,OBSERVATION_TIME,COUNTRYCODE,YEAR,NAME,LATITUDE,LONGITUDE
NZ000936150,20080101,TMIN,81.0,"","",S,"",NZ,2008,HOKITIKA AERODROME,-42.717,170.983
NZ000939870,20080101,TMAX,151.0,"","",S,"",NZ,2008,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,20080101,TMIN,71.0,"","",S,"",NZ,2008,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20080101,TMAX,247.0,"","",S,"",NZ,2008,AUCKLAND AERO AWS,-37.0,174.8
NZM00093110,20080101,TMIN,158.0,"","",S,"",NZ,2008,AUCKLAND AERO AWS,-37.0,174.8
NZM00093678,20080101,TMIN,90.0,"","",S,"",NZ,2008,KAIKOURA,-42.417,173.7
NZ000093292,20080101,TMAX,196.0,"","",S,"",NZ,2008,GISBORNE AERODROME,-38.65,177.983
NZM00093781,20080101,TMIN,81.0,"","",S,"",NZ,2008,CHRISTCHURCH INTL,-43.489,172.532
NZM00093439,20080101,TMIN,72.0,"","",S,"",NZ,2008,WELLINGTON AERO AWS,-41.333,174.8
NZ000093844,20080101,TMAX,231.0,"","",S,"",NZ,2008,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,20080101,TMIN,56.0,"","",S,"",NZ,2008,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,20080101,TMAX,197.0,"","",S,"",NZ,2008,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,20080101,TMAX,242.0,"","",S,"",NZ,2008,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,20080102,TMAX,300.0,"","",S,"",NZ,2008,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,20080102,TMIN,106.0,"","",S,"",NZ,2008,HOKITIKA AERODROME,-42.717,170.983
NZ000939870,20080102,TMIN,106.0,"","",S,"",NZ,2008,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20080102,TMAX,249.0,"","",S,"",NZ,2008,AUCKLAND AERO AWS,-37.0,174.8
NZM00093678,20080102,TMAX,232.0,"","",S,"",NZ,2008,KAIKOURA,-42.417,173.7
NZM00093678,20080102,TMIN,129.0,"","",S,"",NZ,2008,KAIKOURA,-42.417,173.7
NZ000093292,20080102,TMAX,255.0,"","",S,"",NZ,2008,GISBORNE AERODROME,-38.65,177.983
NZ000093292,20080102,TMIN,69.0,"","",S,"",NZ,2008,GISBORNE AERODROME,-38.65,177.983
NZM00093781,20080102,TMAX,300.0,"","",S,"",NZ,2008,CHRISTCHURCH INTL,-43.489,172.532
NZM00093781,20080102,TMIN,106.0,"","",S,"",NZ,2008,CHRISTCHURCH INTL,-43.489,172.532
NZM00093439,20080102,TMAX,229.0,"","",S,"",NZ,2008,WELLINGTON AERO AWS,-41.333,174.8
NZM00093439,20080102,TMIN,143.0,"","",S,"",NZ,2008,WELLINGTON AERO AWS,-41.333,174.8
NZ000093844,20080102,TMAX,239.0,"","",S,"",NZ,2008,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,20080102,TMAX,214.0,"","",S,"",NZ,2008,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,20080102,TMIN,100.0,"","",S,"",NZ,2008,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,20080102,TMAX,222.0,"","",S,"",NZ,2008,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,20080102,TMIN,86.0,"","",S,"",NZ,2008,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,20080103,TMAX,307.0,"","",S,"",NZ,2008,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,20080103,TMIN,113.0,"","",S,"",NZ,2008,HOKITIKA AERODROME,-42.717,170.983
NZ000939870,20080103,TMAX,204.0,"","",S,"",NZ,2008,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,20080103,TMIN,116.0,"","",S,"",NZ,2008,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20080103,TMAX,248.0,"","",S,"",NZ,2008,AUCKLAND AERO AWS,-37.0,174.8
NZM00093110,20080103,TMIN,141.0,"","",S,"",NZ,2008,AUCKLAND AERO AWS,-37.0,174.8
NZM00093678,20080103,TMAX,253.0,"","",S,"",NZ,2008,KAIKOURA,-42.417,173.7
NZ000093292,20080103,TMAX,286.0,"","",S,"",NZ,2008,GISBORNE AERODROME,-38.65,177.983
NZM00093781,20080103,TMAX,307.0,"","",S,"",NZ,2008,CHRISTCHURCH INTL,-43.489,172.532
NZM00093781,20080103,TMIN,113.0,"","",S,"",NZ,2008,CHRISTCHURCH INTL,-43.489,172.532
NZM00093439,20080103,TMAX,226.0,"","",S,"",NZ,2008,WELLINGTON AERO AWS,-41.333,174.8
NZ000093844,20080103,TMAX,165.0,"","",S,"",NZ,2008,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,20080103,TMAX,200.0,"","",S,"",NZ,2008,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,20080103,TMAX,222.0,"","",S,"",NZ,2008,NEW PLYMOUTH AWS,-39.017,174.183
NZ000939870,20080104,TMAX,156.0,"","",S,"",NZ,2008,CHATHAM ISLANDS AWS,-43.95,-176.567
NZM00093110,20080104,TMAX,243.0,"","",S,"",NZ,2008,AUCKLAND AERO AWS,-37.0,174.8
