ID,DATE,ELEMENT,VALUE,MEASUREMENT_FLAG,QUALITY_FLAG,SOURCE_FLAG,OBSERVATION_TIME,COUNTRYCODE,YEAR,NAME,LATITUDE,LONGITUDE
NZ000936150,19920101,TMAX,214.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,19920101,TMIN,60.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,19920101,TMAX,222.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000093012,19920101,TMIN,134.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000939870,19920101,TMAX,118.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,19920101,TMIN,89.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000093292,19920101,TMAX,187.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093292,19920101,TMIN,105.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093994,19920101,TMAX,242.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19920101,TMIN,190.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,19920101,TMAX,153.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000937470,19920101,TMIN,68.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000939450,19920101,TMAX,118.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19920101,TMIN,78.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZM00093781,19920101,TMAX,156.0,"","",S,"",NZ,1992,CHRISTCHURCH INTL,-43.489,172.532
NZM00093781,19920101,TMIN,67.0,"","",S,"",NZ,1992,CHRISTCHURCH INTL,-43.489,172.532
NZ000093844,19920101,TMAX,148.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19920101,TMIN,45.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,19920101,TMAX,170.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,19920101,TMIN,90.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,19920101,TMAX,182.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19920101,TMIN,89.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,19920102,TMAX,186.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,19920102,TMIN,90.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,19920102,TMAX,228.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000093012,19920102,TMIN,129.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000939870,19920102,TMAX,136.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,19920102,TMIN,90.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000093292,19920102,TMAX,165.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093292,19920102,TMIN,87.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093994,19920102,TMAX,241.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19920102,TMIN,165.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,19920102,TMAX,187.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000937470,19920102,TMIN,40.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000939450,19920102,TMAX,113.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19920102,TMIN,82.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZM00093781,19920102,TMAX,168.0,"","",S,"",NZ,1992,CHRISTCHURCH INTL,-43.489,172.532
NZM00093781,19920102,TMIN,64.0,"","",S,"",NZ,1992,CHRISTCHURCH INTL,-43.489,172.532
NZ000093844,19920102,TMAX,157.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19920102,TMIN,33.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,19920102,TMAX,172.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,19920102,TMIN,57.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,19920102,TMAX,193.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19920102,TMIN,66.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,19920103,TMAX,197.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,19920103,TMIN,134.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,19920103,TMAX,213.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000093012,19920103,TMIN,124.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000939870,19920103,TMAX,150.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,19920103,TMIN,83.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000093292,19920103,TMAX,167.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093292,19920103,TMIN,58.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093994,19920103,TMAX,221.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19920103,TMIN,164.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,19920103,TMAX,243.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000937470,19920103,TMIN,87.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000939450,19920103,TMAX,120.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19920103,TMIN,76.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZM00093781,19920103,TMAX,188.0,"","",S,"",NZ,1992,CHRISTCHURCH INTL,-43.489,172.532
NZM00093781,19920103,TMIN,90.0,"","",S,"",NZ,1992,CHRISTCHURCH INTL,-43.489,172.532
NZ000093844,19920103,TMAX,206.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19920103,TMIN,99.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,19920103,TMAX,170.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,19920103,TMIN,66.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,19920103,TMAX,188.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19920103,TMIN,85.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,19920104,TMAX,200.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,19920104,TMIN,114.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,19920104,TMAX,217.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000093012,19920104,TMIN,126.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
NZ000939870,19920104,TMAX,135.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000939870,19920104,TMIN,103.0,"","",G,"",NZ,1992,CHATHAM ISLANDS AWS,-43.95,-176.567
NZ000093292,19920104,TMAX,216.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093292,19920104,TMIN,111.0,"","",G,"",NZ,1992,GISBORNE AERODROME,-38.65,177.983
NZ000093994,19920104,TMAX,220.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000093994,19920104,TMIN,175.0,"","",G,"",NZ,1992,RAOUL ISL/KERMADEC,-29.25,-177.917
NZ000937470,19920104,TMAX,248.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000937470,19920104,TMIN,90.0,"","",G,"",NZ,1992,TARA HILLS,-44.517,169.9
NZ000939450,19920104,TMAX,122.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZ000939450,19920104,TMIN,83.0,"","",G,"",NZ,1992,CAMPBELL ISLAND AWS,-52.55,169.167
NZM00093781,19920104,TMIN,101.0,"","",S,"",NZ,1992,CHRISTCHURCH INTL,-43.489,172.532
NZ000093844,19920104,TMAX,241.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093844,19920104,TMIN,61.0,"","",G,"",NZ,1992,INVERCARGILL AIRPOR,-46.417,168.333
NZ000093417,19920104,TMAX,189.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000093417,19920104,TMIN,104.0,"","",G,"",NZ,1992,PARAPARAUMU AWS,-40.9,174.983
NZ000933090,19920104,TMAX,188.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000933090,19920104,TMIN,76.0,"","",G,"",NZ,1992,NEW PLYMOUTH AWS,-39.017,174.183
NZ000936150,19920105,TMAX,200.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000936150,19920105,TMIN,114.0,"","",G,"",NZ,1992,HOKITIKA AERODROME,-42.717,170.983
NZ000093012,19920105,TMAX,231.0,"","",G,"",NZ,1992,KAITAIA,-35.1,173.267
